,sample_type,theta,cutp,cutn,seed_num,mes,stress_mean,sample_num
340,cut_first,0.0,1,-1,224,8.62429155343,17502351.0,170.0
341,cut_second,-1.5707963267899998,1,-1,224,5.75171828359,17502351.0,170.0
342,cut_first,0.0,1,-1,843,11.215521398599998,17502351.0,171.0
343,cut_second,-1.5707963267899998,1,-1,843,12.204311684,17502351.0,171.0
344,cut_first,0.0,1,-1,576,8.909772203,17502351.0,172.0
345,cut_second,-1.5707963267899998,1,-1,576,8.8741314471,17502351.0,172.0
346,cut_first,0.0,1,-1,90,6.49611822091,17502351.0,173.0
347,cut_second,-1.5707963267899998,1,-1,90,4.8755742233,17502351.0,173.0
348,cut_first,0.0,1,-1,805,7.233409954119999,17502351.0,174.0
349,cut_second,-1.5707963267899998,1,-1,805,6.63949244127,17502351.0,174.0
350,cut_first,0.0,1,-1,338,6.69900375533,17502351.0,175.0
351,cut_second,-1.5707963267899998,1,-1,338,6.303873433090001,17502351.0,175.0
352,cut_first,0.0,1,-1,679,5.52222714596,17502351.0,176.0
353,cut_second,-1.5707963267899998,1,-1,679,4.07965262949,17502351.0,176.0
354,cut_first,0.0,1,-1,340,6.26808060181,17502351.0,177.0
355,cut_second,-1.5707963267899998,1,-1,340,5.479469633559999,17502351.0,177.0
356,cut_first,0.0,1,-1,943,4.05727910548,17502351.0,178.0
357,cut_second,-1.5707963267899998,1,-1,943,4.93604620305,17502351.0,178.0
358,cut_first,0.0,1,-1,236,3.68128252138,17502351.0,179.0
