,sample_type,theta,cutp,cutn,seed_num,mes,stress_mean,sample_num
249,cut_second,-1.5707963267899998,1,-1,115,9.8951985539,22783386.1116,124.0
250,cut_first,0.0,1,-1,611,6.01920555964,12372677.6071,125.0
251,cut_second,-1.5707963267899998,1,-1,611,5.37851105151,12372677.6071,125.0
252,cut_first,0.0,1,-1,653,6.055605809809999,20861571.1977,126.0
253,cut_second,-1.5707963267899998,1,-1,653,6.0132131458,20861571.1977,126.0
254,cut_first,0.0,1,-1,93,12.4870860314,31348153.1107,127.0
255,cut_second,-1.5707963267899998,1,-1,93,12.1521509733,31348153.1107,127.0
256,cut_first,0.0,1,-1,17,8.59378385518,19848766.9904,128.0
257,cut_second,-1.5707963267899998,1,-1,17,8.317656554489998,19848766.9904,128.0
258,cut_first,0.0,1,-1,592,5.8589130336099995,9516472.04472,129.0
259,cut_second,-1.5707963267899998,1,-1,592,5.600272996930001,9516472.04472,129.0
260,cut_first,0.0,1,-1,670,6.98020144381,14127677.7447,130.0
261,cut_second,-1.5707963267899998,1,-1,670,5.40785588651,14127677.7447,130.0
262,cut_first,0.0,1,-1,569,3.51387871617,14327728.8501,131.0
263,cut_second,-1.5707963267899998,1,-1,569,4.13433263816,14327728.8501,131.0
264,cut_first,0.0,1,-1,702,3.4544728462300003,13455415.1904,132.0
265,cut_second,-1.5707963267899998,1,-1,702,5.24198192198,13455415.1904,132.0
266,cut_first,0.0,1,-1,217,3.80969442758,18691086.4459,133.0
267,cut_second,-1.5707963267899998,1,-1,217,4.45861726067,18691086.4459,133.0
268,cut_first,0.0,1,-1,121,3.69778294513,15701484.4148,134.0
269,cut_second,-1.5707963267899998,1,-1,121,3.9038221447500003,15701484.4148,134.0
270,cut_first,0.0,1,-1,920,10.7179921201,22609570.8379,135.0
271,cut_second,-1.5707963267899998,1,-1,920,10.006815874199999,22609570.8379,135.0
272,cut_first,0.0,1,-1,315,0.762985558272,4989562.36547,136.0
273,cut_second,-1.5707963267899998,1,-1,315,-0.424722760304,4989562.36547,136.0
274,cut_first,0.0,1,-1,507,6.7646094349,13624993.5034,137.0
275,cut_second,-1.5707963267899998,1,-1,507,6.3093818518099996,13624993.5034,137.0
276,cut_first,0.0,1,-1,160,5.53749800826,13283042.0678,138.0
277,cut_second,-1.5707963267899998,1,-1,160,7.84681874536,13283042.0678,138.0
278,cut_first,0.0,1,-1,618,7.534694643160001,26970831.1753,139.0
279,cut_second,-1.5707963267899998,1,-1,618,9.326166550289999,26970831.1753,139.0
280,cut_first,0.0,1,-1,777,8.18159043981,13525701.5454,140.0
281,cut_second,-1.5707963267899998,1,-1,777,6.459256762230001,13525701.5454,140.0
282,cut_first,0.0,1,-1,760,5.71513057916,14265871.6611,141.0
283,cut_second,-1.5707963267899998,1,-1,760,6.88410611906,14265871.6611,141.0
284,cut_first,0.0,1,-1,600,6.56541418069,17886916.4911,142.0
285,cut_second,-1.5707963267899998,1,-1,600,4.49975048503,17886916.4911,142.0
286,cut_first,0.0,1,-1,526,2.96910568892,17342026.6606,143.0
287,cut_second,-1.5707963267899998,1,-1,526,5.109399043380001,17342026.6606,143.0
288,cut_first,0.0,1,-1,139,12.4703324294,31497026.0767,144.0
289,cut_second,-1.5707963267899998,1,-1,139,13.5885643717,31497026.0767,144.0
290,cut_first,0.0,1,-1,356,0.170469439017,4060524.32367,145.0
291,cut_second,-1.5707963267899998,1,-1,356,0.831513963788,4060524.32367,145.0
292,cut_first,0.0,1,-1,207,-2.3528280762400002,-1984583.00103,146.0
293,cut_second,-1.5707963267899998,1,-1,207,-2.51770952486,-1984583.00103,146.0
294,cut_first,0.0,1,-1,472,9.072484501960002,26938817.7633,147.0
295,cut_second,-1.5707963267899998,1,-1,472,8.79283787373,26938817.7633,147.0
296,cut_first,0.0,1,-1,484,13.0870804271,31892174.231,148.0
297,cut_second,-1.5707963267899998,1,-1,484,10.3808838549,31892174.231,148.0
298,cut_first,0.0,1,-1,980,1.48345903295,7204151.96286,149.0
299,cut_second,-1.5707963267899998,1,-1,980,1.934446827,7204151.96286,149.0
300,cut_first,0.0,1,-1,604,0.854237376637,10567752.6851,150.0
301,cut_second,-1.5707963267899998,1,-1,604,0.22498098473499997,10567752.6851,150.0
302,cut_first,0.0,1,-1,553,6.481757257409999,15029915.3014,151.0
303,cut_second,-1.5707963267899998,1,-1,553,2.95691705016,15029915.3014,151.0
304,cut_first,0.0,1,-1,223,8.30743183299,22044365.306999996,152.0
305,cut_second,-1.5707963267899998,1,-1,223,9.2357120837,22044365.306999996,152.0
306,cut_first,0.0,1,-1,378,8.3827842686,12624092.1591,153.0
307,cut_second,-1.5707963267899998,1,-1,378,5.63809153996,12624092.1591,153.0
308,cut_first,0.0,1,-1,489,9.363948197060001,29870960.9567,154.0
